Year,Month,GMSL,GMSL uncertainty
1900,1,-128.9,18.3
1900,2,-130.8,18.3
1900,3,-129.5,18.3
1900,4,-129.8,18.3
1900,5,-127.3,18.3
1900,6,-128.2,18.3
1900,7,-130.5,18.3
1900,8,-128.7,18.3
1900,9,-135.1,18.3
1900,10,-130.2,18.3
1900,11,-132.1,18.3
1900,12,-130.1,18.3
1901,1,-132.8,18.3
1901,2,-134.7,18.3
1901,3,-135,17.4
1901,4,-131,17.4
1901,5,-135,17.4
1901,6,-133.7,17.4
1901,7,-136.2,17.4
1901,8,-131,17.4
1901,9,-127,17.4
1901,10,-124.1,17.4
1901,11,-122.6,17.4
1901,12,-123.3,17.5
1902,1,-122.6,17.4
1902,2,-122.1,17.4
1902,3,-123.3,17.4
1902,4,-128,17.4
1902,5,-132.3,17.4
1902,6,-132.9,17.4
1902,7,-131.7,17.3
1902,8,-127.8,17.3
1902,9,-124.4,17.3
1902,10,-121.8,17.3
1902,11,-121.3,17.3
1902,12,-122.8,17.3
1903,1,-121.2,17
1903,2,-121.7,17
1903,3,-115,17
1903,4,-110.3,17
1903,5,-109.8,17
1903,6,-110.6,17
1903,7,-116.2,17
1903,8,-119.5,17
1903,9,-123.6,17
1903,10,-120.6,17
1903,11,-124.2,16.7
1903,12,-121.5,17.1
1904,1,-125.9,17.1
1904,2,-118.2,17.1
1904,3,-122.9,17.1
1904,4,-123.3,17.1
1904,5,-128.3,16.8
1904,6,-126.6,16.8
1904,7,-130.2,16.8
1904,8,-131.2,16.8
1904,9,-132.6,16.8
1904,10,-131.6,16.8
1904,11,-132.3,16.8
1904,12,-134.8,16.8
1905,1,-138,15.4
1905,2,-140.1,15.4
1905,3,-139.6,15.4
1905,4,-138.1,15.4
1905,5,-136,15.4
1905,6,-134.4,15.4
1905,7,-132,15.4
1905,8,-128.1,15.4
1905,9,-125.4,15.4
1905,10,-127.6,15.4
1905,11,-130.7,15.4
1905,12,-134.8,15.4
1906,1,-131.8,14.7
1906,2,-129.5,14.7
1906,3,-128.1,14.7
1906,4,-128.9,14.7
1906,5,-125.5,14.7
1906,6,-124.1,14.7
1906,7,-122.3,14.7
1906,8,-125.4,14.7
1906,9,-124.9,14.7
1906,10,-125.7,14.7
1906,11,-127.6,14.7
1906,12,-128.8,14.9
1907,1,-129.5,14.9
1907,2,-126.4,14.9
1907,3,-125.2,14.9
1907,4,-122.8,14.9
1907,5,-125.1,14.9
1907,6,-123.2,14.9
1907,7,-126.4,14.9
1907,8,-123.8,14.9
1907,9,-131.7,14.9
1907,10,-133.1,14.9
1907,11,-137.6,14.9
1907,12,-134.5,14.9
1908,1,-131.1,14.5
1908,2,-129.1,14.5
1908,3,-129.2,14.5
1908,4,-131.4,14.5
1908,5,-132.5,14.5
1908,6,-127.9,14.5
