id,latitude,longitude,year,name,sex,bottom_depth,surface_temperature,bottom_temperature,haul,cpue
71398,54.98333,-165.73333,1975,southern Tanner crab,male,126,5.2,3.2,67,5940
73207,57.66667,-168.38333,1975,southern Tanner crab,male,68,8,0,122,1189
73206,57.66667,-159.05,1975,southern Tanner crab,male,46,0.5,0.8,26,138
73209,57.66667,-170.28333,1975,southern Tanner crab,male,70,8.1,1.7,125,345
73210,57.66667,-170.9,1975,southern Tanner crab,male,82,8,2.5,130,75825
73211,57.63333,-171.58333,1975,southern Tanner crab,male,95,7.8,2.3,129,1450
73212,58.01667,-161.46667,1975,southern Tanner crab,male,53,1.7,1.8,34,69
73213,58,-160.85,1975,southern Tanner crab,male,49,1.9,1.7,31,207
73214,58,-158.96667,1975,southern Tanner crab,male,40,0.9,1.1,28,66
73215,58,-170.31667,1975,southern Tanner crab,male,71,8.4,0.5,126,9511
73216,58,-171,1975,southern Tanner crab,male,84,8.2,1.1,127,2072
73828,58,-171.58333,1975,southern Tanner crab,male,95,8.1,1.9,128,330
73829,54.66667,-165.13333,1975,southern Tanner crab,male,80,4.2,4.2,52,12219
72401,57,-165.83333,1975,southern Tanner crab,male,70,9,0.7,114,2486
73052,57.68333,-159.63333,1975,southern Tanner crab,male,49,0.3,0.1,22,483
73051,57.66667,-160.26667,1975,southern Tanner crab,male,53,,-1.1,21,553
73050,57.68333,-160.86667,1975,southern Tanner crab,male,55,4,0.6,32,660
73049,57.66667,-161.5,1975,southern Tanner crab,male,51,4.8,1.2,33,3177
73048,57.68333,-162.13333,1975,southern Tanner crab,male,46,2.7,2,36,132
73047,57.66667,-162.73333,1975,southern Tanner crab,male,44,3.2,0.4,39,46895
73046,57.68333,-163.33333,1975,southern Tanner crab,male,46,1.8,1.7,44,276
73045,57.66667,-167.75,1975,southern Tanner crab,male,66,8.3,-0.5,121,228
73044,57.33333,-172.08333,1975,southern Tanner crab,male,106,5.3,1.3,86,1658
73043,57.35,-171.48333,1975,southern Tanner crab,male,97,5.4,1.7,85,1036
73042,57.35,-170.83333,1975,southern Tanner crab,male,80,6.9,3.1,131,49999
73041,57.35,-169.58333,1975,southern Tanner crab,male,62,8.1,-0.5,133,3501
73040,57.3,-168.96667,1975,southern Tanner crab,male,70,8.6,2.7,134,11625
73039,57.33333,-168.38333,1975,southern Tanner crab,male,70,9,1.8,137,330
73038,57.31667,-159.06667,1975,southern Tanner crab,male,48,-0.1,0.3,25,522
73037,57.35,-159.66667,1975,southern Tanner crab,male,55,,-0.4,23,3831
73036,57.33333,-160.31667,1975,southern Tanner crab,male,60,1.8,,20,2950
73035,57.35,-160.91667,1975,southern Tanner crab,male,62,1.7,-1.2,14,3963
73034,57.35,-161.53333,1975,southern Tanner crab,male,53,2.3,-0.1,13,9181
73033,57.35,-162.13333,1975,southern Tanner crab,male,49,3,0.9,37,1783
73032,57.33333,-162.76667,1975,southern Tanner crab,male,48,2.9,0.7,40,4491
73031,57.35,-163.35,1975,southern Tanner crab,male,53,3,-0.2,45,4696
73030,57.33333,-167.1,1975,southern Tanner crab,male,68,8.3,0.5,119,1823
73029,57.33333,-167.71667,1975,southern Tanner crab,male,71,9,1.6,138,198
73028,57,-172.66667,1975,southern Tanner crab,male,119,6.2,2.4,88,1174
73027,57,-172.03333,1975,southern Tanner crab,male,113,5.1,1.5,87,2774
73026,57,-171.4,1975,southern Tanner crab,male,104,5.5,1.8,84,528
73025,57,-170.8,1975,southern Tanner crab,male,95,5.4,3.3,82,6009
73024,57.03333,-170.25,1975,southern Tanner crab,male,66,4.2,2,81,6216
73023,57,-169.55,1975,southern Tanner crab,male,59,3.4,1.2,80,5871
73022,57,-168.96667,1975,southern Tanner crab,male,75,8.2,2.6,135,2378
73021,56.96667,-168.36667,1975,southern Tanner crab,male,80,8.7,1.8,136,4557
73020,57,-159.7,1975,southern Tanner crab,male,55,1.1,0.7,24,991
73019,57,-160.33333,1975,southern Tanner crab,male,62,1.2,-0.4,19,3765
73018,57.03333,-160.95,1975,southern Tanner crab,male,62,1.8,-0.1,15,1658
73017,57,-161.55,1975,southern Tanner crab,male,68,2,-0.1,12,13210
73016,57.01667,-162.15,1975,southern Tanner crab,male,60,3.7,0.7,38,18233
73015,57,-162.76667,1975,southern Tanner crab,male,60,2.5,1.6,41,414
73014,57.01667,-163.36667,1975,southern Tanner crab,male,64,3.2,0,46,17819
73013,57,-164.01667,1975,southern Tanner crab,male,66,9.1,1.7,111,73183
73012,57,-164.58333,1975,southern Tanner crab,male,66,9.1,0.9,112,17888
73011,57,-165.18333,1975,southern Tanner crab,male,68,9.2,0.8,113,5482
72400,57,-166.45,1975,southern Tanner crab,male,71,9.1,1.1,117,2378
72399,57,-167.08333,1975,southern Tanner crab,male,71,8.7,1.4,118,2114
72398,57,-167.68333,1975,southern Tanner crab,male,75,8.8,1.6,139,1981
72397,56.66667,-172.56667,1975,southern Tanner crab,male,132,6.1,2.5,89,1329
72396,56.66667,-171.96667,1975,southern Tanner crab,male,123,5.7,2.1,90,760
72395,56.66667,-171.33333,1975,southern Tanner crab,male,119,5.7,2.5,91,1934
72394,56.66667,-170.73333,1975,southern Tanner crab,male,110,6,2.4,94,1981
72393,56.68333,-170.1,1975,southern Tanner crab,male,93,6,2.7,95,7860
72392,56.66667,-169.48333,1975,southern Tanner crab,male,75,3.9,2.7,78,22788
